"index";"plane";"train";"boat";"car";"year"
"133";"11671154.7645882";"3765";"947847.928076118";"3804479.28114255";"2011"
"135";"10992903.1431854";"0";"790469.062856354";"3734249.37152638";"2012"
"135";"12302448.3049373";"0";"806960.276658045";"4810172.01006994";"2013"
"135";"14057215.432223";"6894.2643788973";"701345.454509579";"7268006.91924037";"2014"
"135";"14981102.0351462";"5338.5898430122";"632160.970874116";"7980853.69415489";"2015"
