"index";"countries";"total"
"79";"Γερμανία";"2240481"
"81";"Γερμανία";"2108787"
"81";"Γερμανία";"2267546"
"110";"Λοιπά Κράτη Ευρώπης";"2876916"
"107";"ΠΓΔΜ";"3023059"
